Row,Reason
996,duplicate Longitude/Lattitude in upload file
1045,duplicate Longitude/Lattitude in upload file
1051,duplicate Longitude/Lattitude in upload file
1067,duplicate Longitude/Lattitude in upload file
1084,duplicate Longitude/Lattitude in upload file
1087,duplicate Longitude/Lattitude in upload file
1096,duplicate Longitude/Lattitude in upload file
1100,duplicate Longitude/Lattitude in upload file
1102,duplicate Longitude/Lattitude in upload file
1112,duplicate Longitude/Lattitude in upload file
1135,duplicate Longitude/Lattitude in upload file
1144,duplicate Longitude/Lattitude in upload file
1145,duplicate Longitude/Lattitude in upload file
1152,duplicate Longitude/Lattitude in upload file
1400,duplicate Longitude/Lattitude in upload file
1420,duplicate Longitude/Lattitude in upload file
1422,duplicate Longitude/Lattitude in upload file
1431,duplicate Longitude/Lattitude in upload file
1444,duplicate Longitude/Lattitude in upload file
1445,duplicate Longitude/Lattitude in upload file
1447,duplicate Longitude/Lattitude in upload file
1454,duplicate Longitude/Lattitude in upload file
1462,duplicate Longitude/Lattitude in upload file
1465,duplicate Longitude/Lattitude in upload file
1467,duplicate Longitude/Lattitude in upload file
1507,duplicate Longitude/Lattitude in upload file
1508,duplicate Longitude/Lattitude in upload file
1515,duplicate Longitude/Lattitude in upload file
1516,duplicate Longitude/Lattitude in upload file
1517,duplicate Longitude/Lattitude in upload file
1519,duplicate Longitude/Lattitude in upload file
1578,duplicate Longitude/Lattitude in upload file
1955,duplicate Longitude/Lattitude in upload file
1956,duplicate Longitude/Lattitude in upload file
4705,duplicate Longitude/Lattitude in upload file
4707,duplicate Longitude/Lattitude in upload file
4715,duplicate Longitude/Lattitude in upload file
4718,duplicate Longitude/Lattitude in upload file
4726,duplicate Longitude/Lattitude in upload file
4727,duplicate Longitude/Lattitude in upload file
4731,duplicate Longitude/Lattitude in upload file
4780,duplicate Longitude/Lattitude in upload file
4952,duplicate Longitude/Lattitude in upload file
6377,duplicate Longitude/Lattitude in upload file
6378,duplicate Longitude/Lattitude in upload file
6379,duplicate Longitude/Lattitude in upload file
6380,duplicate Longitude/Lattitude in upload file
6381,duplicate Longitude/Lattitude in upload file
6382,duplicate Longitude/Lattitude in upload file
6383,duplicate Longitude/Lattitude in upload file
6384,duplicate Longitude/Lattitude in upload file
6385,duplicate Longitude/Lattitude in upload file
6386,duplicate Longitude/Lattitude in upload file
6387,duplicate Longitude/Lattitude in upload file
