Row,Reason
6377,duplicate Tracenet_No + Longitude/Lattitude in upload file
6378,duplicate Tracenet_No + Longitude/Lattitude in upload file
6379,duplicate Tracenet_No + Longitude/Lattitude in upload file
6380,duplicate Tracenet_No + Longitude/Lattitude in upload file
6381,duplicate Tracenet_No + Longitude/Lattitude in upload file
6382,duplicate Tracenet_No + Longitude/Lattitude in upload file
6383,duplicate Tracenet_No + Longitude/Lattitude in upload file
6384,duplicate Tracenet_No + Longitude/Lattitude in upload file
6385,duplicate Tracenet_No + Longitude/Lattitude in upload file
6386,duplicate Tracenet_No + Longitude/Lattitude in upload file
6387,duplicate Tracenet_No + Longitude/Lattitude in upload file
6388,duplicate Tracenet_No + Longitude/Lattitude in upload file
6389,duplicate Tracenet_No + Longitude/Lattitude in upload file
6390,duplicate Tracenet_No + Longitude/Lattitude in upload file
6391,duplicate Tracenet_No + Longitude/Lattitude in upload file
6392,duplicate Tracenet_No + Longitude/Lattitude in upload file
6393,duplicate Tracenet_No + Longitude/Lattitude in upload file
6394,duplicate Tracenet_No + Longitude/Lattitude in upload file
6395,duplicate Tracenet_No + Longitude/Lattitude in upload file
6396,duplicate Tracenet_No + Longitude/Lattitude in upload file
6397,duplicate Tracenet_No + Longitude/Lattitude in upload file
6398,duplicate Tracenet_No + Longitude/Lattitude in upload file
6399,duplicate Tracenet_No + Longitude/Lattitude in upload file
6400,duplicate Tracenet_No + Longitude/Lattitude in upload file
6401,duplicate Tracenet_No + Longitude/Lattitude in upload file
6402,duplicate Tracenet_No + Longitude/Lattitude in upload file
6403,duplicate Tracenet_No + Longitude/Lattitude in upload file
6404,duplicate Tracenet_No + Longitude/Lattitude in upload file
6405,duplicate Tracenet_No + Longitude/Lattitude in upload file
6406,duplicate Tracenet_No + Longitude/Lattitude in upload file
6407,duplicate Tracenet_No + Longitude/Lattitude in upload file
6408,duplicate Tracenet_No + Longitude/Lattitude in upload file
6409,duplicate Tracenet_No + Longitude/Lattitude in upload file
6410,duplicate Tracenet_No + Longitude/Lattitude in upload file
6411,duplicate Tracenet_No + Longitude/Lattitude in upload file
6412,duplicate Tracenet_No + Longitude/Lattitude in upload file
6413,duplicate Tracenet_No + Longitude/Lattitude in upload file
6414,duplicate Tracenet_No + Longitude/Lattitude in upload file
6415,duplicate Tracenet_No + Longitude/Lattitude in upload file
6452,duplicate Tracenet_No + Longitude/Lattitude in upload file
6453,duplicate Tracenet_No + Longitude/Lattitude in upload file
6454,duplicate Tracenet_No + Longitude/Lattitude in upload file
6455,duplicate Tracenet_No + Longitude/Lattitude in upload file
6456,duplicate Tracenet_No + Longitude/Lattitude in upload file
6457,duplicate Tracenet_No + Longitude/Lattitude in upload file
6458,duplicate Tracenet_No + Longitude/Lattitude in upload file
6459,duplicate Tracenet_No + Longitude/Lattitude in upload file
6460,duplicate Tracenet_No + Longitude/Lattitude in upload file
6461,duplicate Tracenet_No + Longitude/Lattitude in upload file
6462,duplicate Tracenet_No + Longitude/Lattitude in upload file
6463,duplicate Tracenet_No + Longitude/Lattitude in upload file
6464,duplicate Tracenet_No + Longitude/Lattitude in upload file
6465,duplicate Tracenet_No + Longitude/Lattitude in upload file
6466,duplicate Tracenet_No + Longitude/Lattitude in upload file
6467,duplicate Tracenet_No + Longitude/Lattitude in upload file
6468,duplicate Tracenet_No + Longitude/Lattitude in upload file
6469,duplicate Tracenet_No + Longitude/Lattitude in upload file
6470,duplicate Tracenet_No + Longitude/Lattitude in upload file
6471,duplicate Tracenet_No + Longitude/Lattitude in upload file
6472,duplicate Tracenet_No + Longitude/Lattitude in upload file
6473,duplicate Tracenet_No + Longitude/Lattitude in upload file
6474,duplicate Tracenet_No + Longitude/Lattitude in upload file
6475,duplicate Tracenet_No + Longitude/Lattitude in upload file
6476,duplicate Tracenet_No + Longitude/Lattitude in upload file
6477,duplicate Tracenet_No + Longitude/Lattitude in upload file
6478,duplicate Tracenet_No + Longitude/Lattitude in upload file
6479,duplicate Tracenet_No + Longitude/Lattitude in upload file
6480,duplicate Tracenet_No + Longitude/Lattitude in upload file
6481,duplicate Tracenet_No + Longitude/Lattitude in upload file
6482,duplicate Tracenet_No + Longitude/Lattitude in upload file
6483,duplicate Tracenet_No + Longitude/Lattitude in upload file
6484,duplicate Tracenet_No + Longitude/Lattitude in upload file
6485,duplicate Tracenet_No + Longitude/Lattitude in upload file
6486,duplicate Tracenet_No + Longitude/Lattitude in upload file
6487,duplicate Tracenet_No + Longitude/Lattitude in upload file
6523,duplicate Tracenet_No + Longitude/Lattitude in upload file
6524,duplicate Tracenet_No + Longitude/Lattitude in upload file
6525,duplicate Tracenet_No + Longitude/Lattitude in upload file
6526,duplicate Tracenet_No + Longitude/Lattitude in upload file
6527,duplicate Tracenet_No + Longitude/Lattitude in upload file
6528,duplicate Tracenet_No + Longitude/Lattitude in upload file
6529,duplicate Tracenet_No + Longitude/Lattitude in upload file
6530,duplicate Tracenet_No + Longitude/Lattitude in upload file
6531,duplicate Tracenet_No + Longitude/Lattitude in upload file
6532,duplicate Tracenet_No + Longitude/Lattitude in upload file
6533,duplicate Tracenet_No + Longitude/Lattitude in upload file
6534,duplicate Tracenet_No + Longitude/Lattitude in upload file
6535,duplicate Tracenet_No + Longitude/Lattitude in upload file
6536,duplicate Tracenet_No + Longitude/Lattitude in upload file
6537,duplicate Tracenet_No + Longitude/Lattitude in upload file
6538,duplicate Tracenet_No + Longitude/Lattitude in upload file
6539,duplicate Tracenet_No + Longitude/Lattitude in upload file
6540,duplicate Tracenet_No + Longitude/Lattitude in upload file
6541,duplicate Tracenet_No + Longitude/Lattitude in upload file
6542,duplicate Tracenet_No + Longitude/Lattitude in upload file
6543,duplicate Tracenet_No + Longitude/Lattitude in upload file
6544,duplicate Tracenet_No + Longitude/Lattitude in upload file
6545,duplicate Tracenet_No + Longitude/Lattitude in upload file
6546,duplicate Tracenet_No + Longitude/Lattitude in upload file
6547,duplicate Tracenet_No + Longitude/Lattitude in upload file
6548,duplicate Tracenet_No + Longitude/Lattitude in upload file
6549,duplicate Tracenet_No + Longitude/Lattitude in upload file
6550,duplicate Tracenet_No + Longitude/Lattitude in upload file
6551,duplicate Tracenet_No + Longitude/Lattitude in upload file
6552,duplicate Tracenet_No + Longitude/Lattitude in upload file
6553,duplicate Tracenet_No + Longitude/Lattitude in upload file
6554,duplicate Tracenet_No + Longitude/Lattitude in upload file
6555,duplicate Tracenet_No + Longitude/Lattitude in upload file
6556,duplicate Tracenet_No + Longitude/Lattitude in upload file
6557,duplicate Tracenet_No + Longitude/Lattitude in upload file
6593,duplicate Tracenet_No + Longitude/Lattitude in upload file
6594,duplicate Tracenet_No + Longitude/Lattitude in upload file
6595,duplicate Tracenet_No + Longitude/Lattitude in upload file
6596,duplicate Tracenet_No + Longitude/Lattitude in upload file
6597,duplicate Tracenet_No + Longitude/Lattitude in upload file
6598,duplicate Tracenet_No + Longitude/Lattitude in upload file
6599,duplicate Tracenet_No + Longitude/Lattitude in upload file
6600,duplicate Tracenet_No + Longitude/Lattitude in upload file
6601,duplicate Tracenet_No + Longitude/Lattitude in upload file
6602,duplicate Tracenet_No + Longitude/Lattitude in upload file
6603,duplicate Tracenet_No + Longitude/Lattitude in upload file
6604,duplicate Tracenet_No + Longitude/Lattitude in upload file
6605,duplicate Tracenet_No + Longitude/Lattitude in upload file
6606,duplicate Tracenet_No + Longitude/Lattitude in upload file
6607,duplicate Tracenet_No + Longitude/Lattitude in upload file
6608,duplicate Tracenet_No + Longitude/Lattitude in upload file
6609,duplicate Tracenet_No + Longitude/Lattitude in upload file
6610,duplicate Tracenet_No + Longitude/Lattitude in upload file
6611,duplicate Tracenet_No + Longitude/Lattitude in upload file
6612,duplicate Tracenet_No + Longitude/Lattitude in upload file
6613,duplicate Tracenet_No + Longitude/Lattitude in upload file
6614,duplicate Tracenet_No + Longitude/Lattitude in upload file
6615,duplicate Tracenet_No + Longitude/Lattitude in upload file
6616,duplicate Tracenet_No + Longitude/Lattitude in upload file
6617,duplicate Tracenet_No + Longitude/Lattitude in upload file
6618,duplicate Tracenet_No + Longitude/Lattitude in upload file
6619,duplicate Tracenet_No + Longitude/Lattitude in upload file
6620,duplicate Tracenet_No + Longitude/Lattitude in upload file
6621,duplicate Tracenet_No + Longitude/Lattitude in upload file
6622,duplicate Tracenet_No + Longitude/Lattitude in upload file
6623,duplicate Tracenet_No + Longitude/Lattitude in upload file
6624,duplicate Tracenet_No + Longitude/Lattitude in upload file
6625,duplicate Tracenet_No + Longitude/Lattitude in upload file
6626,duplicate Tracenet_No + Longitude/Lattitude in upload file
6627,duplicate Tracenet_No + Longitude/Lattitude in upload file
6645,duplicate Tracenet_No + Longitude/Lattitude in upload file
6646,duplicate Tracenet_No + Longitude/Lattitude in upload file
6647,duplicate Tracenet_No + Longitude/Lattitude in upload file
6648,duplicate Tracenet_No + Longitude/Lattitude in upload file
6649,duplicate Tracenet_No + Longitude/Lattitude in upload file
6650,duplicate Tracenet_No + Longitude/Lattitude in upload file
6651,duplicate Tracenet_No + Longitude/Lattitude in upload file
6652,duplicate Tracenet_No + Longitude/Lattitude in upload file
6653,duplicate Tracenet_No + Longitude/Lattitude in upload file
6654,duplicate Tracenet_No + Longitude/Lattitude in upload file
6655,duplicate Tracenet_No + Longitude/Lattitude in upload file
6656,duplicate Tracenet_No + Longitude/Lattitude in upload file
6657,duplicate Tracenet_No + Longitude/Lattitude in upload file
6658,duplicate Tracenet_No + Longitude/Lattitude in upload file
6659,duplicate Tracenet_No + Longitude/Lattitude in upload file
6660,duplicate Tracenet_No + Longitude/Lattitude in upload file
6661,duplicate Tracenet_No + Longitude/Lattitude in upload file
6734,duplicate Tracenet_No + Longitude/Lattitude in upload file
6735,duplicate Tracenet_No + Longitude/Lattitude in upload file
6736,duplicate Tracenet_No + Longitude/Lattitude in upload file
6737,duplicate Tracenet_No + Longitude/Lattitude in upload file
6738,duplicate Tracenet_No + Longitude/Lattitude in upload file
6739,duplicate Tracenet_No + Longitude/Lattitude in upload file
6740,duplicate Tracenet_No + Longitude/Lattitude in upload file
6741,duplicate Tracenet_No + Longitude/Lattitude in upload file
6742,duplicate Tracenet_No + Longitude/Lattitude in upload file
6743,duplicate Tracenet_No + Longitude/Lattitude in upload file
6744,duplicate Tracenet_No + Longitude/Lattitude in upload file
6745,duplicate Tracenet_No + Longitude/Lattitude in upload file
6746,duplicate Tracenet_No + Longitude/Lattitude in upload file
6747,duplicate Tracenet_No + Longitude/Lattitude in upload file
6748,duplicate Tracenet_No + Longitude/Lattitude in upload file
6749,duplicate Tracenet_No + Longitude/Lattitude in upload file
6750,duplicate Tracenet_No + Longitude/Lattitude in upload file
6751,duplicate Tracenet_No + Longitude/Lattitude in upload file
6752,duplicate Tracenet_No + Longitude/Lattitude in upload file
6753,duplicate Tracenet_No + Longitude/Lattitude in upload file
6754,duplicate Tracenet_No + Longitude/Lattitude in upload file
6755,duplicate Tracenet_No + Longitude/Lattitude in upload file
6756,duplicate Tracenet_No + Longitude/Lattitude in upload file
6757,duplicate Tracenet_No + Longitude/Lattitude in upload file
6758,duplicate Tracenet_No + Longitude/Lattitude in upload file
6759,duplicate Tracenet_No + Longitude/Lattitude in upload file
6760,duplicate Tracenet_No + Longitude/Lattitude in upload file
6761,duplicate Tracenet_No + Longitude/Lattitude in upload file
6762,duplicate Tracenet_No + Longitude/Lattitude in upload file
6763,duplicate Tracenet_No + Longitude/Lattitude in upload file
6764,duplicate Tracenet_No + Longitude/Lattitude in upload file
6765,duplicate Tracenet_No + Longitude/Lattitude in upload file
